City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Kavieng,PG,85.28,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
14,Marshall,US,77.72,scattered clouds,34.3834,-86.3333,Riverview Campground
20,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
22,Hithadhoo,MV,80.35,light rain,-0.6,73.0833,Scoop Guest House
27,Butaritari,KI,81.32,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
33,Vaitape,PF,79.3,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
38,Castlegar,CA,90.28,clear sky,49.2998,-117.6689,Surestay Hotel by Best Western Castlegar
39,Colombo,LK,78.75,overcast clouds,6.9319,79.8478,Galle Face Hotel
41,Kieta,PG,85.71,clear sky,-6.2167,155.6333,Uruna Bay Retreat
42,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
43,Tautira,PF,77.74,few clouds,-17.7333,-149.15,Pension Oaoa
45,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Green leaf
47,Maragogi,BR,75.04,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
49,Touros,BR,76.01,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
52,Ambon,ID,77.14,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
55,Ouargaye,BF,79.0,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
56,Atuona,PF,76.75,few clouds,-9.8,-139.0333,Villa Enata
57,Sao Jose Da Coroa Grande,BR,75.31,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
58,Sterling,US,77.52,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
62,Providencia,MX,91.2,clear sky,28.7167,-111.5833,
63,Trincomalee,LK,80.62,light rain,8.5711,81.2335,Welcombe Hotel
65,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
67,Arya,PK,76.23,overcast clouds,33.6,73.0667,Hotel Akbar International
76,Harper,LR,75.07,overcast clouds,4.375,-7.7169,Screensaver
78,Laguna,US,93.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
82,Nalut,LY,78.46,clear sky,30.3333,10.85,
84,Kodinar,IN,82.62,overcast clouds,20.7903,70.7031,residency of N.B vadhel
88,Ocos,GT,80.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
90,Smithers,CA,80.92,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
91,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
95,Kumano,JP,81.52,broken clouds,34.3442,132.5894,ホテル コラソン
96,Puerto Penasco,MX,85.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
101,Wagar,SD,80.47,clear sky,16.1525,36.2032,
104,Namatanai,PG,82.27,light rain,-3.6667,152.4333,Seagulls Inn Namatani
107,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
109,Daru,PG,78.13,broken clouds,-9.0763,143.2092,Daru Lodge
110,Kununurra,AU,84.18,few clouds,-15.7667,128.7333,Hotel Kununurra
113,Dingle,PH,83.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
116,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
