City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Necochea,-38.5473,-58.7368,50.18,75,100,7.23,AR,overcast clouds,2022-07-31 02:30:00
1,Kapaa,22.0752,-159.319,84.18,72,75,12.66,US,broken clouds,2022-07-31 02:31:37
2,Airai,-8.9266,125.4092,71.11,53,45,4.29,TL,scattered clouds,2022-07-31 02:26:47
3,Kavieng,-2.5744,150.7967,85.28,63,90,9.84,PG,overcast clouds,2022-07-31 02:31:38
4,Lata,40.1629,-8.3327,70.02,56,0,3.62,PT,clear sky,2022-07-31 02:22:42
5,East London,-33.0153,27.9116,56.34,63,9,16.31,ZA,clear sky,2022-07-31 02:31:38
6,Kaitangata,-46.2817,169.8464,43.74,89,99,9.64,NZ,overcast clouds,2022-07-31 02:31:39
7,Vardo,70.3705,31.1107,51.78,93,100,11.5,NO,mist,2022-07-31 02:30:44
8,Muisne,0.6,-80.0333,74.73,86,96,8.75,EC,overcast clouds,2022-07-31 02:31:39
9,Nikolskoye,59.7035,30.7861,55.8,97,7,4.81,RU,clear sky,2022-07-31 02:25:23
10,Clyde River,70.4692,-68.5914,37.63,100,100,10.36,CA,light rain,2022-07-31 02:21:11
11,Pangnirtung,66.1451,-65.7125,55.4,82,100,20.71,CA,light rain,2022-07-31 02:31:40
12,Geraldton,-28.7667,114.6,59.41,67,0,16.11,AU,clear sky,2022-07-31 02:28:02
13,Hermanus,-34.4187,19.2345,44.8,68,51,5.84,ZA,light rain,2022-07-31 02:31:41
14,Marshall,34.3834,-86.3333,77.72,90,40,4.0,US,scattered clouds,2022-07-31 02:31:41
15,Mar Del Plata,-38.0023,-57.5575,53.1,90,0,5.99,AR,clear sky,2022-07-31 02:31:42
16,Mahalapye,-23.1041,26.8142,56.93,27,0,7.96,BW,clear sky,2022-07-31 02:31:42
17,Kruisfontein,-34.0033,24.7314,50.34,75,94,14.09,ZA,light rain,2022-07-31 02:26:48
18,Provideniya,64.3833,-173.3,52.54,69,99,8.39,RU,overcast clouds,2022-07-31 02:25:32
19,Punta Arenas,-53.15,-70.9167,41.11,70,0,13.8,CL,clear sky,2022-07-31 02:28:20
20,Turayf,31.6725,38.6637,79.05,44,0,13.8,SA,clear sky,2022-07-31 02:31:43
21,Garowe,8.4054,48.4845,72.36,69,70,23.91,SO,broken clouds,2022-07-31 02:31:44
22,Hithadhoo,-0.6,73.0833,80.35,75,100,14.58,MV,light rain,2022-07-31 02:19:26
23,Busselton,-33.65,115.3333,58.69,59,60,10.29,AU,broken clouds,2022-07-31 02:31:45
24,Ushuaia,-54.8,-68.3,42.46,70,40,23.02,AR,scattered clouds,2022-07-31 02:26:46
25,Jamestown,42.097,-79.2353,64.04,64,0,0.0,US,clear sky,2022-07-31 02:18:32
26,Ust-Nera,64.5667,143.2,73.87,53,84,2.19,RU,broken clouds,2022-07-31 02:31:46
27,Butaritari,3.0707,172.7902,81.32,74,92,15.57,KI,overcast clouds,2022-07-31 02:25:29
28,Mataura,-46.1927,168.8643,46.47,93,99,7.72,NZ,overcast clouds,2022-07-31 02:31:46
29,Guerrero Negro,27.9769,-114.0611,70.7,77,5,13.85,MX,clear sky,2022-07-31 02:31:28
30,Lagoa,39.05,-27.9833,72.54,72,0,6.02,PT,clear sky,2022-07-31 02:29:29
31,Rikitea,-23.1203,-134.9692,72.93,75,9,15.93,PF,light rain,2022-07-31 02:31:47
32,Albany,42.6001,-73.9662,71.64,67,0,1.99,US,clear sky,2022-07-31 02:30:51
33,Vaitape,-16.5167,-151.75,79.3,70,5,22.91,PF,light rain,2022-07-31 02:31:48
34,Te Anau,-45.4167,167.7167,42.69,80,72,0.51,NZ,broken clouds,2022-07-31 02:31:48
35,Oktyabrskoye,43.0645,44.7417,59.14,94,0,6.71,RU,clear sky,2022-07-31 02:31:49
36,Fortuna,40.5982,-124.1573,64.92,86,100,10.36,US,overcast clouds,2022-07-31 02:31:49
37,Ust-Tsilma,65.441,52.1498,61.5,83,99,4.63,RU,overcast clouds,2022-07-31 02:31:50
38,Castlegar,49.2998,-117.6689,90.28,32,0,2.15,CA,clear sky,2022-07-31 02:31:37
39,Colombo,6.9319,79.8478,78.75,83,99,6.06,LK,overcast clouds,2022-07-31 02:28:43
40,Leningradskiy,69.3833,178.4167,49.89,64,68,7.29,RU,broken clouds,2022-07-31 02:28:01
41,Kieta,-6.2167,155.6333,85.71,64,6,7.9,PG,clear sky,2022-07-31 02:25:31
42,Bairiki,1.3292,172.9752,86.0,66,20,12.66,KI,few clouds,2022-07-31 02:31:51
43,Tautira,-17.7333,-149.15,77.74,71,13,23.02,PF,few clouds,2022-07-31 02:31:51
44,Hobart,-42.8794,147.3294,53.46,69,75,12.66,AU,broken clouds,2022-07-31 02:25:21
45,Kavaratti,10.5669,72.642,81.07,81,100,20.54,IN,overcast clouds,2022-07-31 02:22:48
46,Lebu,-37.6167,-73.65,47.07,88,86,4.09,CL,overcast clouds,2022-07-31 02:32:52
47,Maragogi,-9.0122,-35.2225,75.04,87,100,8.16,BR,overcast clouds,2022-07-31 02:32:53
48,Ilulissat,69.2167,-51.1,46.42,87,100,5.75,GL,overcast clouds,2022-07-31 02:32:53
49,Touros,-5.1989,-35.4608,76.01,85,100,13.31,BR,overcast clouds,2022-07-31 02:28:11
50,Glazunovka,52.4986,36.3275,61.34,77,81,4.36,RU,broken clouds,2022-07-31 02:32:54
51,Asau,46.4333,26.4,63.52,92,100,3.42,RO,light rain,2022-07-31 02:30:39
52,Ambon,-3.6954,128.1814,77.14,94,40,4.61,ID,moderate rain,2022-07-31 02:32:55
53,Anadyr,64.75,177.4833,59.5,47,0,6.71,RU,clear sky,2022-07-31 02:32:55
54,Longyearbyen,78.2186,15.6401,48.04,87,75,11.5,SJ,broken clouds,2022-07-31 02:32:56
55,Ouargaye,11.5033,0.0572,79.0,74,100,7.34,BF,overcast clouds,2022-07-31 02:32:56
56,Atuona,-9.8,-139.0333,76.75,77,12,14.45,PF,few clouds,2022-07-31 02:24:06
