City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marmande,FR,2022-07-21 21:13:50,44.5,0.1667,76.75,65,1,5.77
1,Grindavik,IS,2022-07-21 21:13:51,63.8424,-22.4338,52.27,93,100,5.75
2,Codrington,AU,2022-07-21 21:09:07,-38.2667,141.9667,47.46,83,73,11.83
3,Emporia,US,2022-07-21 21:10:21,38.4039,-96.1817,100.6,23,0,0.0
4,Tuensang,IN,2022-07-21 21:13:52,26.2833,94.8333,71.26,99,100,1.39
5,Tuim,RU,2022-07-21 21:13:52,54.3417,89.9261,52.23,90,84,6.51
6,Coahuayana,MX,2022-07-21 21:13:53,18.7333,-103.6833,91.17,63,82,6.96
7,Tuktoyaktuk,CA,2022-07-21 21:13:53,69.4541,-133.0374,55.4,94,100,8.05
8,Ponta Do Sol,PT,2022-07-21 21:10:02,32.6667,-17.1,72.72,79,3,7.72
9,Salina Cruz,MX,2022-07-21 21:10:03,16.1667,-95.2,85.84,67,90,8.1
10,Busselton,AU,2022-07-21 21:10:03,-33.65,115.3333,57.81,78,67,10.85
11,Atuona,PF,2022-07-21 21:10:04,-9.8,-139.0333,77.56,72,15,15.64
12,Rikitea,PF,2022-07-21 21:08:10,-23.1203,-134.9692,74.62,79,91,21.59
13,Mar Del Plata,AR,2022-07-21 21:06:33,-38.0023,-57.5575,53.1,57,88,1.01
14,Bambous Virieux,MU,2022-07-21 21:09:28,-20.3428,57.7575,69.22,65,93,17.98
15,Kruisfontein,ZA,2022-07-21 21:10:05,-34.0033,24.7314,50.11,87,0,4.16
16,Chokurdakh,RU,2022-07-21 21:10:05,70.6333,147.9167,48.38,43,0,8.19
17,Tiznit,MA,2022-07-21 21:10:06,29.5833,-9.5,89.47,22,39,2.17
18,New Norfolk,AU,2022-07-21 21:10:06,-42.7826,147.0587,37.71,97,3,2.55
19,Cape Town,ZA,2022-07-21 21:08:02,-33.9258,18.4232,59.38,79,100,4.0
20,Geraldton,AU,2022-07-21 21:10:07,-28.7667,114.6,54.01,87,100,8.05
21,Hami,CN,2022-07-21 21:10:08,42.8,93.45,73.4,26,0,2.04
22,Ranong,TH,2022-07-21 21:10:08,9.9658,98.6348,77.41,90,100,5.44
23,Kodiak,US,2022-07-21 21:10:09,57.79,-152.4072,54.91,88,100,9.22
24,Kuito,AO,2022-07-21 21:10:09,-12.3833,16.9333,58.95,37,10,0.63
25,Tasiilaq,GL,2022-07-21 21:10:10,65.6145,-37.6368,42.96,78,77,1.61
26,Port Alfred,ZA,2022-07-21 21:10:10,-33.5906,26.891,57.9,73,0,6.11
27,Richards Bay,ZA,2022-07-21 21:10:11,-28.783,32.0377,66.22,86,67,7.14
28,Forbes,AU,2022-07-21 21:10:11,-33.3833,148.0167,45.34,88,12,7.45
29,Provideniya,RU,2022-07-21 21:10:12,64.3833,-173.3,42.91,81,100,20.0
30,Elizabeth City,US,2022-07-21 21:10:12,36.2946,-76.2511,93.06,66,40,16.11
31,Hobart,AU,2022-07-21 21:10:13,-42.8794,147.3294,38.05,91,20,6.91
32,Hilo,US,2022-07-21 21:08:12,19.7297,-155.09,82.27,86,75,1.01
33,Albany,US,2022-07-21 21:10:13,42.6001,-73.9662,93.85,44,30,1.01
34,Kushikino,JP,2022-07-21 21:10:14,31.7167,130.2667,76.35,90,58,9.46
35,Thompson,CA,2022-07-21 21:07:11,55.7435,-97.8558,58.33,81,100,6.73
36,Hasaki,JP,2022-07-21 21:10:15,35.7333,140.8333,79.29,92,100,17.4
37,Kavieng,PG,2022-07-21 21:10:15,-2.5744,150.7967,81.05,79,100,11.95
38,Lebu,CL,2022-07-21 21:08:34,-37.6167,-73.65,52.29,85,99,9.19
39,Ushuaia,AR,2022-07-21 21:09:08,-54.8,-68.3,31.66,80,75,23.02
40,Sitka,US,2022-07-21 21:09:09,57.0531,-135.33,57.09,82,100,4.61
41,Ostrovnoy,RU,2022-07-21 21:10:16,68.0531,39.5131,54.23,82,95,5.08
42,Carnarvon,AU,2022-07-21 21:07:52,-24.8667,113.6333,61.92,73,52,17.0
43,Lavrentiya,RU,2022-07-21 21:10:17,65.5833,-171.0,40.41,81,100,20.11
44,Ahuimanu,US,2022-07-21 21:10:17,21.4447,-157.8378,85.71,68,100,20.71
45,Arraial Do Cabo,BR,2022-07-21 21:08:21,-22.9661,-42.0278,69.66,88,0,5.75
46,Faanui,PF,2022-07-21 21:11:18,-16.4833,-151.75,77.31,73,11,11.52
47,Saldanha,ZA,2022-07-21 21:11:18,-33.0117,17.9442,54.34,76,98,11.48
48,Chuy,UY,2022-07-21 21:15:02,-33.6971,-53.4616,52.0,92,87,6.02
49,Ushumun,RU,2022-07-21 21:15:02,52.7833,126.5333,62.4,83,19,3.06
50,Bethel,US,2022-07-21 21:15:03,41.3712,-73.414,91.04,66,0,10.36
51,Huangmei,CN,2022-07-21 21:15:03,30.1924,116.025,80.26,91,83,2.06
52,Honningsvag,NO,2022-07-21 21:11:53,70.9821,25.9704,55.15,94,75,16.11
53,Belmonte,BR,2022-07-21 21:11:21,-15.8631,-38.8828,71.62,87,77,6.87
54,Nome,US,2022-07-21 21:11:21,64.5011,-165.4064,46.47,81,100,13.8
55,Vila Velha,BR,2022-07-21 21:11:22,-20.3297,-40.2925,73.35,87,75,8.05
56,Khatanga,RU,2022-07-21 21:11:23,71.9667,102.5,50.79,85,100,13.96
57,San Cristobal,VE,2022-07-21 21:11:23,7.7669,-72.225,75.38,64,84,6.02
58,Nikolskoye,RU,2022-07-21 21:07:32,59.7035,30.7861,64.29,83,1,0.85
59,Saint George,US,2022-07-21 21:11:24,37.1041,-113.5841,111.63,13,0,14.97
60,Guerrero Negro,MX,2022-07-21 21:07:35,27.9769,-114.0611,80.11,48,7,19.08
61,Hithadhoo,MV,2022-07-21 21:11:25,-0.6,73.0833,80.74,73,99,8.01
62,Vienna,AT,2022-07-21 21:09:56,48.2085,16.3721,82.33,58,20,28.01
63,Yellowknife,CA,2022-07-21 21:11:25,62.456,-114.3525,62.64,54,97,7.83
64,Sabang,ID,2022-07-21 21:06:30,5.8933,95.3214,82.45,75,100,17.16
65,Shimoda,JP,2022-07-21 21:11:26,34.6667,138.95,78.1,88,7,6.89
66,Naliya,IN,2022-07-21 21:11:27,23.2667,68.8333,83.21,82,83,14.65
67,Mahebourg,MU,2022-07-21 21:10:23,-20.4081,57.7,69.26,66,88,17.36
68,Kutum,SD,2022-07-21 21:11:27,14.2,24.6667,74.55,59,95,7.2
69,Arman,RU,2022-07-21 21:11:28,59.7,150.1667,68.02,73,26,1.05
70,Berlevag,NO,2022-07-21 21:11:28,70.8578,29.0864,62.4,94,75,0.0
71,Kapaa,US,2022-07-21 21:11:29,22.0752,-159.319,82.72,70,40,16.11
72,Conde,BR,2022-07-21 21:06:43,-7.2597,-34.9075,74.66,88,75,6.91
73,Sortavala,RU,2022-07-21 21:11:29,61.7053,30.6918,64.47,70,9,2.51
74,Jamestown,US,2022-07-21 21:11:30,42.097,-79.2353,84.06,51,0,13.8
75,Campbellton,CA,2022-07-21 21:11:31,48.0075,-66.6727,69.62,92,100,6.08
76,Pevek,RU,2022-07-21 21:11:31,69.7008,170.3133,32.16,100,100,9.78
77,Whitehorse,CA,2022-07-21 21:09:37,60.7161,-135.0538,64.02,51,80,15.99
78,Vaini,TO,2022-07-21 21:09:25,-21.2,-175.2,73.85,77,47,9.57
79,Bluff,NZ,2022-07-21 21:11:32,-46.6,168.3333,37.8,83,85,9.51
80,Port Elizabeth,ZA,2022-07-21 21:10:41,-33.918,25.5701,55.63,77,0,5.19
81,Hermanus,ZA,2022-07-21 21:07:21,-34.4187,19.2345,53.62,76,100,1.81
82,Georgetown,MY,2022-07-21 21:10:09,5.4112,100.3354,81.9,89,20,2.3
83,Upernavik,GL,2022-07-21 21:08:49,72.7868,-56.1549,45.73,96,100,18.52
84,Sembakung,ID,2022-07-21 21:11:33,3.8167,117.25,72.72,100,100,1.9
85,Noumea,NC,2022-07-21 21:06:46,-22.2763,166.4572,75.0,99,30,10.16
86,Kenai,US,2022-07-21 21:11:34,60.5544,-151.2583,59.02,71,100,5.75
87,Half Moon Bay,US,2022-07-21 21:11:34,37.4636,-122.4286,88.54,70,20,20.71
88,Yerbogachen,RU,2022-07-21 21:16:12,61.2767,108.0108,59.86,78,100,3.11
89,Qaanaaq,GL,2022-07-21 21:16:12,77.484,-69.3632,43.74,80,100,7.96
90,Mahon,ES,2022-07-21 21:16:13,39.8885,4.2658,79.36,78,0,4.61
91,Miri,MY,2022-07-21 21:16:13,4.4148,114.0089,77.14,100,20,0.0
92,Ketchikan,US,2022-07-21 21:16:14,55.3422,-131.6461,63.07,67,100,9.22
93,Lasa,IT,2022-07-21 21:12:37,46.6166,10.7002,68.99,83,47,2.39
94,Yumen,CN,2022-07-21 21:12:37,40.2833,97.2,67.84,26,0,8.52
95,Alyangula,AU,2022-07-21 21:12:38,-13.8483,136.4192,67.06,66,86,13.22
96,Am Timan,TD,2022-07-21 21:12:38,11.0297,20.2827,78.58,73,100,2.62
97,Boma,GH,2022-07-21 21:12:39,7.0805,-2.1697,73.87,78,92,0.09
98,Gondar,ET,2022-07-21 21:12:39,12.6,37.4667,57.97,95,99,5.1
99,Orichi,RU,2022-07-21 21:12:40,58.4036,49.0572,55.33,92,5,3.51
100,Mattru,SL,2022-07-21 21:12:40,7.6244,-11.8332,73.54,90,85,4.43
101,Talcahuano,CL,2022-07-21 21:12:41,-36.7167,-73.1167,51.48,93,100,5.75
102,Sosnovo,RU,2022-07-21 21:12:41,60.5514,30.2144,64.08,78,5,3.91
103,Portobelo,PA,2022-07-21 21:12:41,9.55,-79.65,80.96,85,100,0.31
104,Mayo,US,2022-07-21 21:10:54,38.8876,-76.5119,95.95,68,40,9.22
105,Contai,IN,2022-07-21 21:12:42,21.7786,87.7536,83.03,83,100,7.54
106,Tete,MZ,2022-07-21 21:12:42,-16.1564,33.5867,75.43,42,100,6.78
107,Kimbe,PG,2022-07-21 21:12:43,-5.5502,150.1429,76.01,92,89,2.01
108,Staryy Nadym,RU,2022-07-21 21:12:43,65.6118,72.6842,46.53,72,100,3.94
109,Punta Arenas,CL,2022-07-21 21:11:32,-53.15,-70.9167,33.91,86,20,24.16
110,Gat,IL,2022-07-21 21:12:36,31.61,34.7642,79.48,100,4,1.83
111,Tuatapere,NZ,2022-07-21 21:09:36,-46.1333,167.6833,43.77,91,99,1.77
112,Luorong,CN,2022-07-21 21:12:44,24.4058,109.6086,76.91,93,2,2.39
113,Mataura,NZ,2022-07-21 21:12:45,-46.1927,168.8643,37.47,95,100,0.38
114,Fort Collins,US,2022-07-21 21:11:48,40.5853,-105.0844,96.8,19,0,9.22
115,Chipata,ZM,2022-07-21 21:12:45,-13.6333,32.65,59.65,61,11,5.12
116,Dikson,RU,2022-07-21 21:11:34,73.5069,80.5464,42.85,95,100,18.3
117,Avarua,CK,2022-07-21 21:12:46,-21.2078,-159.775,71.65,78,75,13.8
118,Kirovskiy,RU,2022-07-21 21:12:47,45.0917,133.5136,66.02,98,94,1.19
119,Padang,ID,2022-07-21 21:12:47,-0.9492,100.3543,76.86,87,87,3.67
120,Birao,CF,2022-07-21 21:12:48,10.2849,22.7882,70.25,90,97,13.58
121,Tayoltita,MX,2022-07-21 21:12:48,24.0833,-105.9333,91.56,41,10,6.85
122,Gold Coast,AU,2022-07-21 21:12:17,-28.0,153.4333,64.47,86,100,18.41
123,Bredasdorp,ZA,2022-07-21 21:09:06,-34.5322,20.0403,47.84,88,100,1.92
124,Aripuana,BR,2022-07-21 21:12:49,-9.1667,-60.6333,91.54,35,12,0.81
125,Acapulco,MX,2022-07-21 21:10:31,16.8634,-99.8901,87.62,74,40,8.05
126,Rustenburg,ZA,2022-07-21 21:12:50,-25.6676,27.2421,58.8,51,63,3.11
127,Flin Flon,CA,2022-07-21 21:12:50,54.7682,-101.865,61.34,67,100,13.44
128,Woodburn,US,2022-07-21 21:12:51,45.1437,-122.8554,86.38,51,0,5.99
129,Puerto Ayora,EC,2022-07-21 21:12:51,-0.7393,-90.3518,80.56,87,58,4.0
130,Timra,SE,2022-07-21 21:12:52,62.487,17.3257,64.08,88,75,10.36
131,Mweka,CD,2022-07-21 21:12:52,-4.85,21.5667,77.34,42,71,0.96
132,Olafsvik,IS,2022-07-21 21:17:23,64.8945,-23.7142,53.33,85,46,7.2
133,Batagay-Alyta,RU,2022-07-21 21:17:23,67.8006,130.4114,51.3,73,86,2.01
134,Ust-Kulom,RU,2022-07-21 21:17:24,61.6864,53.6902,62.91,71,98,3.38
135,Sao Joao Da Barra,BR,2022-07-21 21:17:25,-21.6403,-41.0511,73.49,83,8,9.93
136,Mocuba,MZ,2022-07-21 21:17:25,-16.8392,36.9856,62.02,93,6,2.33
137,Talnakh,RU,2022-07-21 21:17:24,69.4865,88.3972,51.21,85,12,6.22
138,Zhezkazgan,KZ,2022-07-21 21:17:26,47.8043,67.7144,76.95,36,22,11.25
139,Chadiza,ZM,2022-07-21 21:17:26,-14.0678,32.4392,59.61,63,24,3.04
140,Araouane,ML,2022-07-21 21:17:27,18.9048,-3.5265,94.46,34,27,5.23
141,Impfondo,CG,2022-07-21 21:17:27,1.6381,18.0667,71.91,96,87,1.68
142,Bantry,IE,2022-07-21 21:17:28,51.6833,-9.45,55.78,91,100,3.4
143,Airai,TL,2022-07-21 21:17:28,-8.9266,125.4092,54.61,92,96,4.0
144,Wasilla,US,2022-07-21 21:14:09,61.5814,-149.4394,57.02,87,100,8.05
145,Lyubim,RU,2022-07-21 21:17:29,58.3625,40.6843,56.32,83,38,5.28
146,Caruray,PH,2022-07-21 21:17:30,10.3094,119.0128,79.9,87,89,4.76
147,Kirakira,SB,2022-07-21 21:17:30,-10.4544,161.9205,80.8,81,96,2.37
148,Teregova,RO,2022-07-21 21:17:31,45.15,22.2833,69.21,40,0,2.15
149,Port Lincoln,AU,2022-07-21 21:17:31,-34.7333,135.8667,54.7,68,100,21.79
150,Karratha,AU,2022-07-21 21:17:31,-20.7377,116.8463,68.59,85,0,7.81
151,Barrow,US,2022-07-21 21:17:32,71.2906,-156.7887,42.82,81,75,28.77
